Poll,Datetime,Sample N,Type,Approve,Disapprove,Spread
Gallup,42805,1500,A,45,49,-4
Rasmussen Reports,42803,1500,LV,48,52,-4
Economist/YouGov,42801,1359,RV,44,50,-6
Reuters/Ipsos,42801,1662,A,48,46,2
Quinnipiac,42800,1283,RV,41,52,-11
Monmouth,42799,722,RV,44,46,-2
USA Today/Suffolk,42799,1000,RV,47,44,3
CNN/ORC,42798,1025,A,45,52,-7
Economist/YouGov,42795,1251,RV,45,51,-6
IBD/TIPP,42798,909,A,41,53,-12
Gallup,42794,1500,A,43,52,-9
Rasmussen Reports,42794,1500,LV,50,50,0
Reuters/Ipsos,42794,1847,A,46,48,-2
PPP (D),42788,941,RV,45,48,-3
NBC News/Wall St. Jrnl,42788,1000,A,44,48,-4
CBS News,42787,1280,A,39,51,-12
Gallup,42787,1500,A,42,52,-10
Rasmussen Reports,42787,1500,LV,51,49,2
Reuters/Ipsos,42787,2338,A,45,50,-5
Economist/YouGov,42786,1198,RV,48,48,0
Quinnipiac,42787,1323,RV,38,55,-17
McClatchy/Marist,42785,865,RV,41,49,-8
Gallup,42780,1500,A,40,53,-13
Economist/YouGov,42780,1100,RV,46,49,-3
Rasmussen Reports,42780,1500,LV,53,47,6
FOX News,42779,1013,RV,48,47,1
Reuters/Ipsos,42780,1774,A,46,50,-4
Pew Research,42778,1246,RV,42,54,-12
PPP (D),42774,712,RV,43,53,-10
Economist/YouGov,42773,1315,RV,44,49,-5
Gallup,42773,1500,A,43,52,-9
Emerson,42772,617,RV,48,47,1
Rasmussen Reports,42773,1500,LV,53,47,6
Reuters/Ipsos,42773,1896,A,48,47,1
Quinnipiac,42772,1155,RV,42,51,-9
CBS News,42768,1019,A,40,48,-8
CNN/ORC,42768,1002,A,44,53,-9
IBD/TIPP,42768,885,A,42,48,-6
PPP (D),42766,725,RV,47,49,-2
Gallup,42766,1500,A,43,52,-9
Rasmussen Reports,42766,1500,LV,53,47,6
Economist/YouGov,42766,1278,RV,47,45,2
Reuters/Ipsos,42766,3151,A,46,47,-1
Economist/YouGov,42760,2312,RV,43,39,4
PPP (D),42759,1043,RV,44,44,0
Quinnipiac,42760,1190,RV,36,44,-8
Gallup,42759,1500,A,46,45,1
Rasmussen Reports,42759,1500,LV,57,43,14
Reuters/Ipsos,42759,1633,A,43,45,-2
